shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
MAX,3612,disjr,1980,0.9406877869605142,0.4668254730238026,1.6081902421275427,1,1,273,312,0.8
MAX,3612,ecexg,4836,0.8693677690275785,0.3842062478674321,2.6331503730862993,1,2,1536,2634,0.9
MAX,3612,elunsn,2058,0.9470628734625879,0.4872597525489939,1.620948871768239,1,1,10,343,1.0
MAX,3612,exmoeu,1302,0.9388944339442332,0.43316818444413197,2.1039602440095226,3,7,24,36,0.5
MAX,3612,f1imapss,6294,0.8243072298189478,0.3374651703381734,3.204339300471282,77,5,320,21,0.0
MAX,3612,funoprabg,5802,0.8660360671551051,0.2895053042499794,2.6347831108096242,1,1,294,31,0.9
MAX,3612,fveq2,3126,0.9117985123839066,0.37940194191430315,1.6677915405829848,1,4,37,269,1.0
MAX,3612,fvtp1g,6240,0.8407292899408284,0.26450821479499786,2.3454142279534373,1,4,57,1419,0.2
MAX,3612,ixpf,7104,0.8107579523146456,0.2895019980992024,2.6330004392598325,1,1,69,769,0.8
MAX,3612,nftru,444,0.9282140248356464,0.5390844590688743,2.870316684690978,1,1,1,116,0.4
MAX,3612,oen0,9282,0.7201970685310201,0.27691602967662593,2.326943545511953,1,4,26,45,0.2
MAX,3612,ofmres,8832,0.7617617630552931,0.19055857776898225,2.5250607290804,97,12,360,1000,0.0
MAX,3612,onxpdisj,6114,0.8533993476257293,0.33691599053388444,2.8773880201859754,1,16,327,543,0.8
MAX,3612,opelidres,4536,0.8997798913804205,0.4915823782012184,1.9968655164654368,1,4,92,369,0.9
MAX,3612,pm2.48,516,0.9528258518117902,0.25675798899145286,2.5146112848524766,3,7,16,71,0.6
MAX,3612,rabxm,2682,0.9257751152350494,0.22229527337820015,2.1157854848193343,1,4,23,62,0.8
MAX,3612,rex0,1764,0.9521056041464204,0.45916819646925,1.6946387576855504,1,2,48,622,0.7
MAX,3612,riotass2,4446,0.8640488379674403,0.15797217907738084,3.034332203100416,1,2,214,59,0.9
MAX,3612,unab,2328,0.9339123445637156,0.33573197805850785,1.786783488881634,1,15,54,160,1.0
