shell,n_train_roots,target,candidate_count,auc,spearman_distance,mae_distance,compass_rank_first_dag,random_rank_first_dag,compass_rank_first_direct_parent,random_rank_first_direct_parent,precision_at_10
2560,2560,dfrn2,3972,0.9052817608455563,0.38474544091796803,3.1077864538371944,1,5,30,386,1.0
2560,2560,disjr,1980,0.9427979797979799,0.45916389502062016,1.578393432305213,1,1,89,312,0.7
2560,2560,ecexg,4836,0.8802212315819935,0.3783677763527011,3.16751005544668,1,2,1047,2634,0.9
2560,2560,elunsn,2058,0.9480284575304507,0.4920410863081783,1.513291221208718,1,1,11,343,1.0
2560,2560,exmoeu,1302,0.938295567967041,0.4369796182736536,2.0991728342572364,3,7,21,36,0.4
2560,2560,f1imapss,6294,0.8281449217149022,0.3540295260393515,2.912167878992011,2,5,167,21,0.2
2560,2560,funoprabg,5802,0.8615284748296687,0.3042038971105782,2.9233360087499674,1,1,163,31,0.7
2560,2560,fveq2,3126,0.9102121639693339,0.3842583528834572,1.7690251377637427,1,4,20,269,1.0
2560,2560,fvtp1g,6240,0.8353590976331361,0.2645488652496878,2.122085561863553,1,4,73,1419,0.2
2560,2560,ixpf,7104,0.8152414370662893,0.30927378441273046,2.5571242014140254,1,1,120,769,0.6
2560,2560,nftru,444,0.9355916727538349,0.5417352790836333,2.86363067388335,1,1,1,116,0.5
2560,2560,oen0,9282,0.7164461430490086,0.24371576042954052,2.636464772900738,1,4,32,45,0.2
2560,2560,ofmres,8832,0.7514721356628071,0.18218985584666728,2.717641899739173,78,12,276,1000,0.0
2560,2560,onxpdisj,6114,0.8557813708334576,0.34271820730802904,2.9863531352913135,1,16,225,543,0.9
2560,2560,opelidres,4536,0.9023613560650597,0.49501144022372423,1.9209965159735671,1,4,96,369,0.8
2560,2560,pm2.48,516,0.9540697674418605,0.26577203516816683,2.5017923766387034,3,7,25,71,0.5
2560,2560,rabxm,2682,0.9261114364217828,0.23107935098702598,2.166707689909373,1,4,47,62,0.9
2560,2560,rex0,1764,0.9517770373455505,0.4356725958209032,1.9082982949621103,1,2,116,622,0.7
2560,2560,riotass2,4446,0.8591435507693765,0.1576746208937225,2.9492536065967836,1,2,118,59,0.7
2560,2560,unab,2328,0.9332241736635137,0.3308799526100137,1.8392754169973347,1,15,58,160,0.9
